出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","104","1","8103","瀚荃","791564.00","575933.00","215631.00","--","--","215631.00","125380.00","--","90251.00","-4418.00","85833.00","12676.00","73157.00","--","--","73157.00","-17323.00","--","55834.00","73250.00","--","-93.00","56102.00","--","-268.00","0.96"
"114/03/26","104","1","8105","凌巨","2541583.00","2357925.00","183658.00","--","--","183658.00","229105.00","--","-45447.00","2416.00","-43031.00","1832.00","-44863.00","--","--","-44863.00","-43564.00","--","-88427.00","-44863.00","--","--","-88427.00","--","--","-0.10"
"114/03/26","104","1","8110","華東","1917062.00","1821368.00","95694.00","--","--","95694.00","96352.00","--","-658.00","-45636.00","-46294.00","400.00","-46694.00","--","--","-46694.00","30039.00","--","-16655.00","-46694.00","--","--","-16655.00","--","--","-0.09"
"114/03/26","104","1","8112","至上","13984962.00","13749287.00","235675.00","--","--","235675.00","223874.00","--","11801.00","33846.00","45647.00","17222.00","28425.00","--","--","28425.00","-22005.00","--","6420.00","51538.00","--","-23113.00","32225.00","--","-25805.00","0.18"
"114/03/26","104","1","8114","振樺電","660427.00","388944.00","271483.00","--","--","271483.00","134244.00","--","137239.00","-9582.00","127657.00","15918.00","111739.00","--","--","111739.00","-263.00","--","111476.00","109610.00","--","2129.00","109426.00","--","2050.00","1.68"
"114/03/26","104","1","8131","福懋科","2307500.00","1944635.00","362865.00","--","--","362865.00","31993.00","--","330872.00","12424.00","343296.00","61268.00","282028.00","--","--","282028.00","26799.00","--","308827.00","--","--","--","--","--","--","0.64"
"114/03/26","104","1","8150","南茂","5218138.00","4015652.00","1202486.00","--","--","1202486.00","338012.00","--","864474.00","18150.00","882624.00","150021.00","732603.00","--","--","732603.00","-14432.00","--","718171.00","706265.00","--","26338.00","699323.00","--","18848.00","0.82"
"114/03/26","104","1","8163","達方","5184913.00","4555582.00","629331.00","--","--","629331.00","584695.00","--","44636.00","-1072.00","43564.00","8844.00","34720.00","--","--","34720.00","-84559.00","--","-49839.00","35383.00","--","-663.00","-49176.00","--","-663.00","0.11"
"114/03/26","104","1","8201","無敵","382521.00","313010.00","69511.00","1863.00","1516.00","69164.00","106509.00","--","-37345.00","9361.00","-27984.00","107.00","-28091.00","--","--","-28091.00","-8212.00","--","-36303.00","-28091.00","--","0.00","-36303.00","--","0.00","-0.32"
"114/03/26","104","1","8210","勤誠","1014992.00","722406.00","292586.00","--","--","292586.00","164460.00","--","128126.00","1818.00","129944.00","42364.00","87580.00","--","--","87580.00","-23254.00","--","64326.00","87580.00","--","--","64326.00","--","--","0.73"
"114/03/26","104","1","8213","志超","5653711.00","4814932.00","838779.00","--","--","838779.00","452394.00","--","386385.00","52705.00","439090.00","83998.00","355092.00","--","--","355092.00","-114907.00","--","240185.00","326730.00","--","28362.00","233714.00","--","6471.00","1.20"
"114/03/26","104","1","8215","明基材","3839473.00","3237514.00","601959.00","--","--","601959.00","406546.00","--","195413.00","27027.00","222440.00","5264.00","217176.00","--","--","217176.00","-65420.00","--","151756.00","217176.00","--","--","151756.00","--","--","0.68"
"114/03/26","104","1","8222","寶一","206461.00","164860.00","41601.00","--","--","41601.00","22534.00","0.00","19067.00","-4105.00","14962.00","973.00","13989.00","0.00","--","13989.00","0.00","--","13989.00","--","--","--","--","--","--","0.21"
"114/03/26","104","1","8249","菱光","1271678.00","1095056.00","176622.00","--","--","176622.00","96055.00","--","80567.00","11492.00","92059.00","26461.00","65598.00","--","--","65598.00","-3795.00","--","61803.00","65598.00","--","--","61803.00","--","--","0.52"
"114/03/26","104","1","8261","富鼎","429445.00","326576.00","102869.00","--","--","102869.00","49461.00","--","53408.00","5296.00","58704.00","9980.00","48724.00","--","--","48724.00","-5973.00","--","42751.00","48724.00","--","--","42751.00","--","--","0.27"
"114/03/26","104","1","8271","宇瞻","2162832.00","1898340.00","264492.00","--","--","264492.00","188387.00","--","76105.00","-1729.00","74376.00","14056.00","60320.00","--","--","60320.00","1933.00","--","62253.00","60320.00","--","--","62253.00","--","--","0.41"
"114/03/26","104","1","8341","日友","369319.00","182553.00","186766.00","--","--","186766.00","67230.00","--","119536.00","-3517.00","116019.00","24095.00","91924.00","--","--","91924.00","-3190.00","--","88734.00","91924.00","--","0.00","88734.00","--","0.00","0.91"
"114/03/26","104","1","8374","羅昇","952165.00","808572.00","143593.00","--","--","143593.00","178759.00","--","-35166.00","-11809.00","-46975.00","-7666.00","-39309.00","--","--","-39309.00","-8761.00","--","-48070.00","-39299.00","--","-10.00","-48063.00","--","-7.00","-0.45"
"114/03/26","104","1","8404","百和興業-KY","803674.00","523253.00","280421.00","--","--","280421.00","139918.00","--","140503.00","29987.00","170490.00","36313.00","134177.00","--","--","134177.00","-41521.00","--","92656.00","125660.00","--","8517.00","86980.00","--","5676.00","0.56"
"114/03/26","104","1","8411","福貞-KY","1662607.00","1405018.00","257589.00","--","--","257589.00","150624.00","--","106965.00","-151.00","106814.00","30647.00","76167.00","--","--","76167.00","-65943.00","--","10224.00","76167.00","--","0.00","10224.00","--","0.00","0.50"
"114/03/26","104","1","8422","可寧衛","550406.00","137932.00","412474.00","--","--","412474.00","69396.00","--","343078.00","3658.00","346736.00","48974.00","297762.00","--","--","297762.00","-93.00","--","297669.00","298009.00","--","-247.00","297887.00","--","-218.00","2.74"
"114/03/26","104","1","8429","金麗-KY","1282496.00","836651.00","445845.00","--","--","445845.00","106809.00","--","339036.00","-337.00","338699.00","115976.00","222723.00","--","--","222723.00","-64777.00","--","157946.00","222723.00","--","--","157946.00","--","--","1.84"
"114/03/26","104","1","8443","阿瘦","581563.00","261265.00","320298.00","--","--","320298.00","299367.00","--","20931.00","1930.00","22861.00","4859.00","18002.00","--","--","18002.00","-1302.00","--","16700.00","18002.00","--","0.00","16700.00","--","0.00","0.27"
"114/03/26","104","1","8454","富邦媒","6259652.00","5484015.00","775637.00","--","--","775637.00","480794.00","29.00","294872.00","25575.00","320447.00","62721.00","257726.00","0.00","--","257726.00","-29452.00","--","228274.00","274346.00","--","-16620.00","245816.00","--","-17542.00","1.93"
"114/03/26","104","1","8463","潤泰材","889399.00","761951.00","127448.00","--","--","127448.00","44971.00","--","82477.00","-12804.00","69673.00","11939.00","57734.00","--","--","57734.00","2085.00","--","59819.00","57734.00","--","--","59819.00","--","--","0.43"
"114/03/26","104","1","8467","波力-KY","410080.00","313398.00","96682.00","--","--","96682.00","78937.00","--","17745.00","-11186.00","6559.00","-791.00","7350.00","--","--","7350.00","-8586.00","--","-1236.00","7350.00","--","0.00","-1236.00","0.00","--","0.16"
