出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值 
"114/03/26","102","4","6288","聯嘉","1229153.00","1297948.00","2527101.00","695551.00","407436.00","1102987.00","1289090.00","37184.00","90787.00","7053.00","--","1424114.00","--","--","--","1424114.00","0.00","0.00","11.05"
"114/03/26","102","4","6405","悅城","1264587.00","1441592.00","2706179.00","469799.00","379213.00","849012.00","658000.00","585449.00","601456.00","12262.00","--","1857167.00","--","--","--","1857167.00","0.00","0.00","28.22"
"114/03/26","102","4","6409","旭隼","3436793.00","166800.00","3603593.00","1616858.00","8820.00","1625678.00","616400.00","600258.00","809010.00","-47753.00","--","1977915.00","--","--","--","1977915.00","0.00","0.00","32.09"
"114/03/26","102","4","6412","群電","12714729.00","3916114.00","16630843.00","9346801.00","1282214.00","10629015.00","3533786.00","1007186.00","1696880.00","-236024.00","--","6001828.00","--","--","--","6001828.00","0.00","0.00","16.98"
"114/03/26","102","4","6414","樺漢","1771190.00","36743.00","1807933.00","619863.00","2220.00","622083.00","604503.00","144910.00","434951.00","1486.00","0.00","1185850.00","--","--","0.00","1185850.00","0.00","0.00","19.62"
"114/03/26","102","4","6415","矽力*-KY","2829734.00","100636.00","2930370.00","238024.00","0.00","238024.00","630403.00","1134254.00","890385.00","37304.00","--","2692346.00","--","--","--","2692346.00","0.00","0.00","42.71"
"114/03/26","102","4","6416","瑞祺電通","1174949.00","88864.00","1263813.00","308987.00","--","308987.00","600307.00","24355.00","338213.00","-8049.00","--","--","--","--","--","954826.00","0.00","0.00","15.91"
"114/03/26","102","4","6423","億而得-創","31386.00","15418.00","46804.00","16427.00","47.00","16474.00","213100.00","556.00","-183326.00","0.00","--","--","--","--","--","30330.00","0.00","0.00","1.42"
"114/03/26","102","4","6426","統新","336309.00","347521.00","683830.00","222336.00","32119.00","254455.00","287000.00","12000.00","113709.00","0.00","--","412709.00","--","--","16666.00","429375.00","0.00","0.00","14.38"
"114/03/26","102","4","6431","光麗-KY","856951.00","403592.00","1260543.00","188387.00","34516.00","222903.00","395568.00","542970.00","74088.00","25014.00","--","1037640.00","0.00","--","--","1037640.00","0.00","0.00","26.23"
"114/03/26","102","4","6438","迅得","1745924.00","267883.00","2013807.00","1062958.00","51750.00","1114708.00","440000.00","5000.00","433006.00","21093.00","--","899099.00","--","--","--","899099.00","0.00","0.00","20.43"
"114/03/26","102","4","6442","光聖","2113740.00","587153.00","2700893.00","1003109.00","108884.00","1111993.00","540000.00","13036.00","1023347.00","12517.00","--","1588900.00","0.00","--","--","1588900.00","0.00","0.00","29.42"
"114/03/26","102","4","6446","藥華藥","1901240.00","306373.00","2207613.00","76527.00","1475.00","78002.00","1877310.00","2437489.00","-2185188.00","0.00","0.00","--","0.00","0.00","--","2129611.00","879000.00","0.00","11.34"
"114/03/26","102","4","6451","訊芯-KY","3778964.00","1127720.00","4906684.00","1485247.00","200461.00","1685708.00","1347606.00","265906.00","868755.00","738709.00","--","3220976.00","--","--","--","3220976.00","0.00","0.00","23.90"
"114/03/26","102","4","6456","GIS-KY","29254389.00","14069335.00","43323724.00","33184524.00","4568081.00","37752605.00","2682320.00","--","2792189.00","96610.00","--","5571119.00","--","--","0.00","5571119.00","0.00","0.00","20.77"
"114/03/26","102","4","6504","南六","2375884.00","2060757.00","4436641.00","1883995.00","556095.00","2440090.00","726000.00","453467.00","765401.00","51683.00","--","1996551.00","--","--","--","1996551.00","0.00","0.00","27.50"
"114/03/26","102","4","6505","台塑化","252483005.00","229743902.00","482226907.00","116624929.00","125230191.00","241855120.00","95259597.00","31327378.00","93926438.00","19827788.00","--","240341201.00","--","--","30586.00","240371787.00","0.00","0.00","25.23"
"114/03/26","102","4","6605","帝寶","8890451.00","13367709.00","22258160.00","7973055.00","4968822.00","12941877.00","1658164.00","2500187.00","5055795.00","48363.00","--","9262509.00","--","--","53774.00","9316283.00","0.00","0.00","55.86"
"114/03/26","102","4","8011","台通","2246076.00","1489800.00","3735876.00","851286.00","518427.00","1369713.00","790600.00","379119.00","551647.00","15103.00","--","1736469.00","--","--","629694.00","2366163.00","0.00","0.00","21.96"
"114/03/26","102","4","8016","矽創","3697184.00","1244180.00","4941364.00","1183062.00","93302.00","1276364.00","1191476.00","644237.00","1714848.00","24196.00","--","3574757.00","--","--","90243.00","3665000.00","0.00","0.00","30.00"
"114/03/26","102","4","8021","尖點","2731325.00","3476692.00","6208017.00","865594.00","1025523.00","1891117.00","1578906.00","1200741.00","1293661.00","62829.00","--","4136137.00","--","--","180763.00","4316900.00","0.00","0.00","26.20"
