出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","104","2","5515","建國","2331371.00","2210192.00","121179.00","--","--","121179.00","156042.00","--","-34863.00","18545.00","-16318.00","-8754.00","-7564.00","--","--","-7564.00","-211335.00","--","-218899.00","-6725.00","--","-839.00","-218060.00","--","-839.00","-0.02"
"114/03/26","104","2","5519","隆大","1260150.00","1002099.00","258051.00","--","--","258051.00","110111.00","--","147940.00","3150.00","151090.00","5978.00","145112.00","--","--","145112.00","-1796.00","--","143316.00","145112.00","--","--","143316.00","--","--","0.84"
"114/03/26","104","2","5521","工信","3532054.00","3344786.00","187268.00","--","--","187268.00","78071.00","--","109197.00","-3486.00","105711.00","17208.00","88503.00","--","--","88503.00","-26800.00","--","61703.00","89743.00","--","-1240.00","62943.00","--","-1240.00","0.26"
"114/03/26","104","2","5522","遠雄","15032357.00","9846059.00","5186298.00","--","--","5186298.00","1130104.00","--","4056194.00","395096.00","4451290.00","943730.00","3507560.00","--","--","3507560.00","-139495.00","--","3368065.00","3506677.00","--","883.00","3367182.00","--","883.00","4.20"
"114/03/26","104","2","5525","順天","2436228.00","1776715.00","659513.00","--","--","659513.00","110856.00","--","548657.00","-10937.00","537720.00","38439.00","499281.00","--","--","499281.00","--","--","499281.00","500018.00","--","-737.00","499281.00","--","--","2.10"
"114/03/26","104","2","5531","鄉林","766408.00","406374.00","360034.00","--","--","360034.00","583490.00","--","-223456.00","-120448.00","-343904.00","25525.00","-369429.00","--","--","-369429.00","-112659.00","--","-482088.00","-258241.00","--","-111188.00","-370900.00","--","-111188.00","-0.29"
"114/03/26","104","2","5533","皇鼎","1824617.00","1093375.00","731242.00","--","--","731242.00","122174.00","--","609068.00","-28006.00","581062.00","114640.00","466422.00","--","--","466422.00","78.00","--","466500.00","466422.00","--","--","466500.00","--","--","1.72"
"114/03/26","104","2","5534","長虹","814893.00","558129.00","256764.00","1301.00","--","255463.00","161457.00","--","94006.00","-24894.00","69112.00","72623.00","-3511.00","--","--","-3511.00","--","--","-3511.00","-3506.00","--","-5.00","-3506.00","--","-5.00","-0.01"
"114/03/26","104","2","5538","東明-KY","3074156.00","2611222.00","462934.00","--","--","462934.00","252316.00","--","210618.00","4526.00","215144.00","54196.00","160948.00","--","--","160948.00","-87778.00","--","73170.00","161520.00","--","-572.00","74654.00","--","-1484.00","0.96"
"114/03/26","104","2","5607","遠雄港","615853.00","324200.00","291653.00","--","--","291653.00","161685.00","--","129968.00","-28631.00","101337.00","0.00","101337.00","--","--","101337.00","-30435.00","--","70902.00","81043.00","--","20294.00","50608.00","--","20294.00","0.48"
"114/03/26","104","2","5608","四維航","2287829.00","2084422.00","203407.00","--","--","203407.00","120336.00","--","83071.00","-43232.00","39839.00","56459.00","-16620.00","--","--","-16620.00","-282417.00","--","-299037.00","-15099.00","--","-1521.00","-297516.00","--","-1521.00","-0.04"
"114/03/26","104","2","5706","鳳凰","1471037.00","1245393.00","225644.00","--","--","225644.00","125446.00","2424.00","102622.00","18837.00","121459.00","12038.00","109421.00","0.00","--","109421.00","-29640.00","--","79781.00","106899.00","--","2522.00","77997.00","--","1784.00","1.79"
"114/03/26","104","2","5871","中租-KY","17595309.00","7049340.00","10545969.00","--","--","10545969.00","6270196.00","64701.00","4340474.00","491176.00","4831650.00","1246413.00","3585237.00","0.00","--","3585237.00","-674837.00","--","2910400.00","3416431.00","--","168806.00","2845503.00","--","64897.00","3.00"
"114/03/26","104","2","5906","台南-KY","629468.00","426563.00","202905.00","--","--","202905.00","496358.00","--","-293453.00","33739.00","-259714.00","-236.00","-259478.00","--","--","-259478.00","-16140.00","--","-275618.00","-259478.00","--","--","-275618.00","--","--","-2.69"
"114/03/26","104","2","5907","大洋-KY","3833614.00","612619.00","3220995.00","--","--","3220995.00","2340788.00","--","880207.00","36854.00","917061.00","312992.00","604069.00","--","--","604069.00","-272353.00","--","331716.00","603805.00","--","264.00","331763.00","--","-47.00","3.06"
"114/03/26","104","2","6108","競國","3736769.00","3344719.00","392050.00","--","--","392050.00","380785.00","--","11265.00","-109854.00","-98589.00","8786.00","-107375.00","--","--","-107375.00","-99748.00","--","-207123.00","-107375.00","--","--","-207123.00","--","--","-0.67"
"114/03/26","104","2","6112","邁達特","4282700.00","3905698.00","377002.00","--","--","377002.00","229562.00","--","147440.00","4995.00","152435.00","29921.00","122514.00","--","--","122514.00","--","--","122514.00","119043.00","--","3471.00","119043.00","--","3471.00","1.30"
"114/03/26","104","2","6115","鎰勝","3401279.00","2885099.00","516180.00","--","--","516180.00","287130.00","--","229050.00","21504.00","250554.00","71571.00","178983.00","--","--","178983.00","-59731.00","--","119252.00","178983.00","--","0.00","119252.00","--","0.00","1.00"
"114/03/26","104","2","6116","彩晶","9417808.00","8611883.00","805925.00","-7712.00","--","813637.00","1276474.00","0.00","-462837.00","418505.00","-44332.00","102396.00","-146728.00","--","--","-146728.00","-241195.00","--","-387923.00","-146728.00","--","--","-387923.00","--","--","-0.04"
"114/03/26","104","2","6117","迎廣","935924.00","809435.00","126489.00","--","--","126489.00","267906.00","--","-141417.00","-3368.00","-144785.00","-17222.00","-127563.00","--","--","-127563.00","-50590.00","--","-178153.00","-127563.00","--","0.00","-178153.00","--","0.00","-1.44"
"114/03/26","104","2","6120","達運","20435189.00","19569107.00","866082.00","--","--","866082.00","913921.00","--","-47839.00","160069.00","112230.00","107251.00","4979.00","--","--","4979.00","-279684.00","--","-274705.00","4979.00","--","--","-274705.00","--","--","0.01"
"114/03/26","104","2","6128","上福","967053.00","554913.00","412140.00","6015.00","4602.00","410727.00","220803.00","--","189924.00","-22709.00","167215.00","36187.00","131028.00","--","--","131028.00","-14863.00","--","116165.00","131028.00","--","--","116165.00","--","--","1.44"
"114/03/26","104","2","6133","金橋","603571.00","473851.00","129720.00","--","--","129720.00","118224.00","--","11496.00","-1751.00","9745.00","6569.00","3176.00","--","--","3176.00","-10786.00","--","-7610.00","3176.00","--","--","-7610.00","--","--","0.03"
"114/03/26","104","2","6136","富爾特","354938.00","242430.00","112508.00","--","--","112508.00","91544.00","--","20964.00","72330.00","93294.00","7313.00","85981.00","--","--","85981.00","31548.00","--","117529.00","85776.00","--","205.00","117632.00","--","-103.00","0.74"
"114/03/26","104","2","6139","亞翔","6672543.00","6322907.00","349636.00","--","--","349636.00","318223.00","--","31413.00","42934.00","74347.00","34769.00","39578.00","--","--","39578.00","-276737.00","--","-237159.00","40442.00","--","-864.00","-189656.00","--","-47503.00","0.21"
"114/03/26","104","2","6141","柏承","1183112.00","1169262.00","13850.00","--","--","13850.00","193983.00","--","-180133.00","-10902.00","-191035.00","-35973.00","-155062.00","--","--","-155062.00","-51945.00","--","-207007.00","-154822.00","--","-240.00","-206733.00","--","-274.00","-1.17"
"114/03/26","104","2","6142","友勁","2245248.00","2008804.00","236444.00","--","--","236444.00","392522.00","5430.00","-150648.00","38899.00","-111749.00","-2799.00","-108950.00","0.00","--","-108950.00","-70740.00","--","-179690.00","-108950.00","--","0.00","-179690.00","--","0.00","-0.41"
"114/03/26","104","2","6152","百一","3810397.00","3444231.00","366166.00","--","--","366166.00","606961.00","--","-240795.00","-5483.00","-246278.00","-26855.00","-219423.00","--","--","-219423.00","4148.00","--","-215275.00","-218972.00","--","-451.00","-214452.00","--","-823.00","-1.29"
"114/03/26","104","2","6153","嘉聯益","7283803.00","6757421.00","526382.00","--","--","526382.00","754923.00","--","-228541.00","77002.00","-151539.00","-16247.00","-135292.00","--","--","-135292.00","-114619.00","--","-249911.00","-135292.00","--","0.00","-249911.00","--","0.00","-0.42"
"114/03/26","104","2","6155","鈞寶","315313.00","228145.00","87168.00","--","--","87168.00","53254.00","--","33914.00","-5902.00","28012.00","3186.00","24826.00","--","--","24826.00","-40651.00","--","-15825.00","24826.00","0.00","0.00","-15825.00","--","0.00","0.29"
"114/03/26","104","2","6164","華興","854356.00","630726.00","223630.00","--","--","223630.00","166419.00","--","57211.00","-5749.00","51462.00","14721.00","36741.00","--","--","36741.00","-30847.00","--","5894.00","36543.00","--","198.00","6014.00","--","-120.00","0.31"
"114/03/26","104","2","6165","浪凡","144187.00","120692.00","23495.00","--","--","23495.00","69374.00","--","-45879.00","3759.00","-42120.00","163.00","-42283.00","--","--","-42283.00","-8987.00","--","-51270.00","-42283.00","--","--","-51270.00","--","--","-0.45"
"114/03/26","104","2","6166","凌華","4577880.00","2646188.00","1931692.00","--","--","1931692.00","1441692.00","--","490000.00","-27042.00","462958.00","108057.00","354901.00","--","--","354901.00","-64925.00","--","289976.00","353588.00","--","1313.00","289012.00","--","964.00","1.77"
"114/03/26","104","2","6168","宏齊","2126886.00","2048544.00","78342.00","--","--","78342.00","190122.00","--","-111780.00","-48837.00","-160617.00","18431.00","-179048.00","--","--","-179048.00","-32468.00","--","-211516.00","-168647.00","--","-10401.00","-196641.00","--","-14875.00","-0.84"
"114/03/26","104","2","6176","瑞儀","18768570.00","16975764.00","1792806.00","--","--","1792806.00","1629640.00","145908.00","309074.00","245660.00","554734.00","144283.00","410451.00","--","--","410451.00","-664747.00","--","-254296.00","410451.00","--","--","-254296.00","--","--","0.88"
