出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","105","3","2409","友達","237243454.00","219981636.00","17261818.00","--","--","17261818.00","16483781.00","--","778037.00","-883539.00","-105502.00","1662884.00","-1768386.00","--","--","-1768386.00","-5294107.00","--","-7062493.00","-1151718.00","--","-616668.00","-4814081.00","--","-2248412.00","-0.12"
"114/03/26","105","3","2412","中華電","171657564.00","108874303.00","62783261.00","--","--","62783261.00","24605984.00","-27115.00","38150162.00","1503869.00","39654031.00","6475296.00","33178735.00","--","--","33178735.00","-922934.00","--","32255801.00","32306109.00","--","872626.00","31424567.00","--","831234.00","4.16"
"114/03/26","105","3","2413","環科","3107191.00","2588082.00","519109.00","--","--","519109.00","456353.00","--","62756.00","30829.00","93585.00","37523.00","56062.00","--","--","56062.00","-28454.00","--","27608.00","56178.00","--","-116.00","27724.00","--","-116.00","0.44"
"114/03/26","105","3","2414","精技","11807231.00","10662293.00","1144938.00","--","--","1144938.00","906874.00","--","238064.00","4776.00","242840.00","42892.00","199948.00","--","--","199948.00","-7965.00","--","191983.00","190400.00","--","9548.00","185457.00","--","6526.00","1.18"
"114/03/26","105","3","2415","錩新","1766028.00","1197718.00","568310.00","--","--","568310.00","270075.00","-32541.00","265694.00","-20360.00","245334.00","89778.00","155556.00","--","--","155556.00","-86310.00","--","69246.00","155111.00","--","445.00","76653.00","--","-7407.00","1.70"
"114/03/26","105","3","2417","圓剛","1888306.00","944898.00","943408.00","--","--","943408.00","963408.00","--","-20000.00","12770.00","-7230.00","30176.00","-37406.00","0.00","--","-37406.00","-10802.00","--","-48208.00","-91223.00","--","53817.00","-96537.00","0.00","48329.00","-0.47"
"114/03/26","105","3","2419","仲琦","6051328.00","4509354.00","1541974.00","--","--","1541974.00","1067948.00","0.00","474026.00","-93215.00","380811.00","85319.00","295492.00","--","--","295492.00","-41402.00","--","254090.00","256442.00","--","39050.00","215483.00","--","38607.00","1.14"
"114/03/26","105","3","2420","新巨","2330573.00","1414165.00","916408.00","--","--","916408.00","436124.00","--","480284.00","-38758.00","441526.00","76339.00","365187.00","--","--","365187.00","-24742.00","--","340445.00","364140.00","--","1047.00","339398.00","--","1047.00","2.39"
"114/03/26","105","3","2421","建準","7621128.00","5916223.00","1704905.00","--","--","1704905.00","1262391.00","--","442514.00","58449.00","500963.00","129041.00","371922.00","--","--","371922.00","-169444.00","--","202478.00","367100.00","--","4822.00","199226.00","--","3252.00","1.47"
"114/03/26","105","3","2423","固緯","1534680.00","760375.00","774305.00","--","--","774305.00","624500.00","--","149805.00","67307.00","217112.00","31396.00","185716.00","--","--","185716.00","-67169.00","--","118547.00","186174.00","--","-458.00","119469.00","--","-922.00","1.28"
"114/03/26","105","3","2424","隴華","2296.00","4231.00","-1935.00","--","--","-1935.00","17815.00","--","-19750.00","-19389.00","-39139.00","-925.00","-38214.00","--","--","-38214.00","-6367.00","--","-44581.00","-38214.00","--","--","-44581.00","--","--","-1.27"
"114/03/26","105","3","2425","承啟","4970744.00","4792095.00","178649.00","--","--","178649.00","94027.00","--","84622.00","-32129.00","52493.00","13346.00","39147.00","--","--","39147.00","-25287.00","--","13860.00","39147.00","--","--","13860.00","--","--","0.36"
"114/03/26","105","3","2426","鼎元","2335179.00","1800177.00","535002.00","--","--","535002.00","264858.00","--","270144.00","-173010.00","97134.00","18244.00","78890.00","--","--","78890.00","-32561.00","--","46329.00","102212.00","--","-23322.00","70074.00","--","-23745.00","0.35"
"114/03/26","105","3","2427","三商電","1519428.00","1021562.00","497866.00","--","--","497866.00","490374.00","--","7492.00","36715.00","44207.00","4874.00","39333.00","--","--","39333.00","-3010.00","--","36323.00","39423.00","--","-90.00","36413.00","--","-90.00","0.21"
"114/03/26","105","3","2428","興勤","3950391.00","2737491.00","1212900.00","--","--","1212900.00","472528.00","--","740372.00","134616.00","874988.00","221095.00","653893.00","--","--","653893.00","-230996.00","--","422897.00","660252.00","--","-6359.00","429256.00","--","-6359.00","5.15"
"114/03/26","105","3","2429","銘旺科","754543.00","673664.00","80879.00","--","--","80879.00","67263.00","--","13616.00","8352.00","21968.00","0.00","21968.00","--","--","21968.00","--","--","21968.00","17316.00","--","4652.00","17316.00","--","4652.00","0.47"
"114/03/26","105","3","2430","燦坤","17066918.00","14389967.00","2676951.00","--","--","2676951.00","2088508.00","--","588443.00","-92365.00","496078.00","108005.00","388073.00","0.00","--","388073.00","12669.00","--","400742.00","400659.00","--","-12586.00","413355.00","--","-12613.00","2.41"
"114/03/26","105","3","2431","聯昌","2295756.00","1996020.00","299736.00","--","--","299736.00","265721.00","--","34015.00","26232.00","60247.00","4230.00","56017.00","--","--","56017.00","-41089.00","--","14928.00","56017.00","--","--","14928.00","--","--","0.50"
"114/03/26","105","3","2433","互盛電","2521376.00","1675989.00","845387.00","--","--","845387.00","566102.00","--","279285.00","134618.00","413903.00","49434.00","364469.00","--","--","364469.00","-96370.00","--","268099.00","360297.00","--","4172.00","292838.00","--","-24739.00","2.49"
"114/03/26","105","3","2434","統懋","163372.00","200076.00","-36704.00","--","--","-36704.00","80894.00","--","-117598.00","-21964.00","-139562.00","-235.00","-139327.00","0.00","--","-139327.00","-12998.00","--","-152325.00","-139327.00","--","--","-152325.00","0.00","0.00","-1.26"
"114/03/26","105","3","2436","偉詮電","1518148.00","1140804.00","377344.00","--","--","377344.00","313361.00","--","63983.00","57782.00","121765.00","7351.00","114414.00","--","--","114414.00","80385.00","--","194799.00","114393.00","--","21.00","194607.00","--","192.00","0.52"
"114/03/26","105","3","2438","翔耀","325458.00","224092.00","101366.00","--","--","101366.00","59261.00","--","42105.00","-2820.00","39285.00","14767.00","24518.00","--","--","24518.00","-185.00","--","24333.00","-5835.00","--","30353.00","-6020.00","--","30353.00","-0.07"
"114/03/26","105","3","2439","美律","10898335.00","8672389.00","2225946.00","--","--","2225946.00","1282513.00","--","943433.00","582332.00","1525765.00","251512.00","1274253.00","--","--","1274253.00","-205990.00","--","1068263.00","1274253.00","--","0.00","1068512.00","--","-249.00","6.97"
"114/03/26","105","3","2440","太空梭","1648346.00","1499247.00","149099.00","--","--","149099.00","121872.00","--","27227.00","-25497.00","1730.00","6128.00","-4398.00","--","--","-4398.00","-12970.00","--","-17368.00","-4398.00","--","--","-17368.00","--","--","-0.03"
"114/03/26","105","3","2441","超豐","7716421.00","5521609.00","2194812.00","--","--","2194812.00","328425.00","--","1866387.00","-7891.00","1858496.00","214443.00","1644053.00","--","--","1644053.00","--","--","1644053.00","--","--","--","--","--","--","2.89"
